Country_Name,Country_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ireland,IRL,0.425504701,0.494498332,0.491307566,0.504297678,0.520575368,0.530177686,0.525608723,0.530895128,0.513641389,0.4938255,0.498927828,0.520024685,0.521431542,0.512124071,0.505355153,0.517925437,0.50363181,0.497524119,0.488241311
Israel,ISR,0.431049608,0.438008169,0.439653023,0.43204412,0.444941863,0.44891572,0.427915887,0.457856037,0.476722558,0.488902447,0.497281684,0.499427195,0.505756292,0.490979724,0.482528686,0.501035419,0.47666604,0.476041165,0.480390076
Italy,ITA,0.434493076,0.454237917,0.448128641,0.445825127,0.467187856,0.473552667,0.460707457,0.467142489,0.454348336,0.451536628,0.470803865,0.473066826,0.474749459,0.47165829,0.446042876,0.445534714,0.434390215,0.434031328,0.444954439
Jamaica,JAM,0.236547588,0.24954694,0.265777488,0.27578999,0.287086356,0.285768454,0.282193391,0.298817017,0.296085177,0.292182197,0.310806595,0.316916782,0.311115644,0.318417084,0.317658457,0.32258736,0.328546981,0.343144792,0.342236321
Japan,JPN,0.582758955,0.630435785,0.624633077,0.616573249,0.635306914,0.634092681,0.610174298,0.609452692,0.594506657,0.600738397,0.604588037,0.590869218,0.581288967,0.577392684,0.565280499,0.567403622,0.548405707,0.541533558,0.550261266
Jordan,JOR,0.193950158,0.20715221,0.213280143,0.217382208,0.232614338,0.250911442,0.250731683,0.262891858,0.262256584,0.268640531,0.27548894,0.286713791,0.300779026,0.305411697,0.303794787,0.335645142,0.302909895,0.296974002,0.29579675
Kazakhstan,KAZ,0.278318827,0.332581145,0.339609548,0.344108374,0.352608306,0.367538748,0.381321597,0.388904747,0.404897201,0.421536367,0.458783511,0.489952511,0.537673945,0.53915108,0.51673182,0.525148802,0.472502749,0.466194174,0.465254627
Kenya,KEN,0.07676179,0.08805399,0.091466532,0.088726916,0.098015649,0.100953406,0.107184028,0.117003579,0.128106333,0.121019614,0.128830675,0.158900997,0.163916329,0.167425078,0.161180774,0.173750598,0.203177127,0.205617748,0.228135086
"Korea, Dem. People’s Rep.",PRK,0.167413436,0.167395804,0.168585948,0.172630504,0.173479369,0.173542736,0.172715063,0.168274055,0.163137018,0.165127468,0.168893159,0.170403589,0.169004896,0.168963482,0.169674117,0.170170007,0.171959767,0.174259628,0.176432682
"Korea, Rep.",KOR,0.558187602,0.626911202,0.615387066,0.616222021,0.638783732,0.641749787,0.63022879,0.634178703,0.623825434,0.626966364,0.6461484,0.635771172,0.627598528,0.616272677,0.605422929,0.615185176,0.588969108,0.600234433,0.609317457
Kuwait,KWT,0.293273193,0.311874855,0.320963265,0.338125225,0.351424139,0.34009218,0.32449419,0.335871088,0.339011552,0.369738002,0.418475989,0.441611104,0.448507577,0.476552922,0.483368168,0.474222725,0.469691327,0.483730028,0.488075182
Kyrgyz Republic,KGZ,0.248354734,0.265049405,0.269152414,0.266609245,0.268462674,0.2821907,0.289874954,0.294106331,0.303550759,0.310057235,0.311235061,0.330001638,0.340401774,0.34080623,0.335986124,0.358828327,0.362516812,0.363544091,0.342052018
Lao PDR,LAO,0.132048414,0.147357272,0.150864344,0.1558888,0.165078219,0.175966972,0.177589828,0.188848488,0.201140193,0.218180216,0.233288882,0.255627749,0.257893552,0.268810869,0.302514755,0.337628805,0.322494479,0.340787762,0.346812191
Latvia,LVA,0.340722589,0.371043221,0.407515714,0.41895991,0.452513472,0.471658926,0.468528619,0.469186849,0.4612514,0.457750572,0.460560028,0.463913975,0.480562051,0.484344997,0.472898597,0.491944472,0.480316253,0.484271358,0.481330749
Lebanon,LBN,0.242822026,0.245662189,0.242787502,0.249886137,0.253726628,0.257028757,0.267565333,0.274068444,0.274794838,0.310036563,0.382161046,0.333839043,0.341520721,0.348698164,0.345938585,0.344533856,0.343877459,0.346611704,0.335488149
Lesotho,LSO,0.079724063,0.07787708,0.085054631,0.088467886,0.092628734,0.096883874,0.095957314,0.103158389,0.105380954,0.104297863,0.115443162,0.132705384,0.142180558,0.162047437,0.177639302,0.183776803,0.188388455,0.189896802,0.206717902
Liberia,LBR,0.093764829,0.091494333,0.089580853,0.089319224,0.086971931,0.084152957,0.081528366,0.084221175,0.079968589,0.078987446,0.089214,0.092496155,0.10099259,0.101830276,0.108901516,0.15536493,0.11621025,0.115875455,0.116430556
Libya,LBY,0.225062298,0.233445938,0.242158825,0.243797516,0.248164272,0.26493341,0.274108433,0.274066393,0.291558603,0.304351569,0.332816006,0.318757485,0.291645866,0.316408021,0.288514303,0.297540475,0.269456947,0.253469926,0.247977616
Lithuania,LTU,0.340900536,0.37610701,0.403629231,0.431837537,0.460612566,0.494893764,0.4854353,0.492194629,0.489215067,0.487531857,0.502664521,0.504749697,0.506355506,0.486980726,0.470294137,0.471660257,0.463605142,0.472945114,0.481248499
Luxembourg,LUX,0.368798934,0.417608892,0.419621331,0.437254739,0.447689425,0.45241697,0.45143936,0.453414875,0.441643152,0.448181501,0.460019214,0.465138255,0.46640432,0.463430855,0.451399485,0.456330359,0.437744921,0.436878492,0.435806868
Madagascar,MDG,0.101632113,0.105384895,0.105454656,0.113779617,0.10638898,0.104637862,0.104911662,0.105638819,0.110776181,0.11267081,0.116098015,0.134172751,0.111612544,0.100963106,0.111608003,0.111154806,0.106531628,0.114295014,0.118721907
Malawi,MWI,0.069435197,0.073723447,0.074402613,0.075543931,0.075466711,0.073816101,0.068055143,0.072111262,0.071862212,0.074973602,0.07466524,0.116842729,0.074596469,0.097649937,0.083389387,0.078973846,0.115573204,0.108931007,0.110995839
Malaysia,MYS,0.311891588,0.397152364,0.402277128,0.410185132,0.43007216,0.444778964,0.429181601,0.4398646,0.4667837,0.483310357,0.493093895,0.511905519,0.530096388,0.50820264,0.507257824,0.530661336,0.507443971,0.519425401,0.52437501
Maldives,MDV,0.149296092,0.163534771,0.176759163,0.188227272,0.209558471,0.236700818,0.248498288,0.268555155,0.296147318,0.298739073,0.311991056,0.329043309,0.341923284,0.35862321,0.362310551,0.379827276,0.387437957,0.405204946,0.398229262
Mali,MLI,0.061274628,0.069298692,0.072796127,0.077452673,0.080677726,0.083902909,0.082660771,0.092036693,0.097375806,0.098788408,0.116760706,0.12904711,0.13105254,0.160861417,0.174832752,0.17763267,0.163113705,0.162694175,0.169783094
Malta,MLT,0.313100631,0.45303814,0.465650813,0.47006681,0.471457904,0.485852132,0.4638637,0.481981136,0.485116058,0.493850314,0.510825588,0.540170651,0.540682298,0.513816493,0.494727591,0.494782866,0.4667821,0.499334294,0.509507904
Mauritania,MRT,0.022863257,0.053906418,0.056251923,0.060185897,0.066042396,0.062347526,0.074891023,0.089552238,0.094411447,0.090754268,0.108412403,0.116800044,0.127607836,0.127517652,0.124523009,0.12627616,0.123933839,0.133007354,0.138694014
Mauritius,MUS,0.258792375,0.286931668,0.287640114,0.294987491,0.304160762,0.31456976,0.308486058,0.317229487,0.320229866,0.308551521,0.330675412,0.344416851,0.355306463,0.366243663,0.367200309,0.377252278,0.373744717,0.386119156,0.395211747
Mexico,MEX,0.249631626,0.292467945,0.301625599,0.304959466,0.317452226,0.328319231,0.326097602,0.329853849,0.338759232,0.347569446,0.361153469,0.373530975,0.381169548,0.37657918,0.366839813,0.38818267,0.384969584,0.397099935,0.400684805
Moldova,MDA,0.118621201,0.127901505,0.258224342,0.26855391,0.280455088,0.288305309,0.29299649,0.297348567,0.297843199,0.292101444,0.316899945,0.332942762,0.336131557,0.353980961,0.359539683,0.363983452,0.352690186,0.357714622,0.35090545
Mongolia,MNG,0.194519581,0.223999133,0.22900249,0.241535056,0.24856278,0.270877833,0.263923068,0.269214692,0.280768854,0.293583893,0.307947586,0.319497579,0.35016661,0.335202108,0.345833675,0.321193971,0.335009028,0.325128248,0.369967818
Montenegro,MNE,0.20108952,0.21765777,0.215553847,0.216077067,0.315170353,0.344736776,0.341415125,0.378162475,0.403500788,0.450664719,0.425125336,0.442642475,0.440318962,0.434586676,0.440325109,0.451605303,0.426120233,0.42615591,0.43495932
Morocco,MAR,0.148084437,0.161796362,0.168588092,0.176363209,0.198535557,0.211244922,0.237601691,0.231359215,0.250906728,0.264286845,0.301523809,0.305529277,0.324720359,0.336474879,0.32435171,0.333508221,0.324458702,0.331416115,0.338212081
Mozambique,MOZ,0.089070843,0.118660395,0.122518841,0.122864478,0.124931931,0.125606362,0.124887776,0.121440091,0.131561125,0.138616759,0.149905837,0.161140322,0.166249981,0.141436319,0.138206221,0.143579765,0.127201628,0.132800914,0.124496989
